Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves apbūves laukums, m2;Būves kopplatība, m2;Būves būvtilpums, m3;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas zemākais stāvs;Telpu grupas augstākais stāvs;Telpu grupas platība, m2;Dzīvokļa kopplatība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Gads;Sezona
22000.0;35.26;1;4;860.5;3426.8;11343.0;1979;30.0;1;1;53.7;50.5;7;2;56.832222;24.226667;2024;2
26000.0;40.8;1;3;380.2;857.0;3106.0;1970;29.0;2;2;21.4;21.4;5;1;56.836667;24.496111;2024;2
29000.0;41.88;1;5;1156.0;5492.4;16758.0;1973;30.0;2;2;32.3;29.5;6;1;56.858611;24.349722;2024;2
119550.0;92.96;1;4;2418.4;9100.8;32944.0;2020;0.0;1;1;50.6;50.6;4;2;56.900833;24.047778;2024;2
129500.0;131.76;1;5;1639.1;7453.6;20640.0;2004;19.0;5;5;85.3;80.3;8;2;56.900833;24.047778;2024;2
10880.0;97.62;1;3;376.7;1167.3;3974.0;1967;10.0;1;1;45.0;45.0;6;2;57.155;24.857778;2024;2
250000.0;523.96;1;3;494.4;898.0;2781.0;2022;0.0;1;3;223.1;179.8;16;6;56.836667;24.496111;2024;2
24000.0;52.57;1;5;676.4;3100.6;10697.0;2003;15.0;5;5;35.0;35.0;1;1;56.787222;23.941944;2024;2
50000.0;43.95;1;9;1324.0;9942.5;34654.0;1978;17.0;4;4;59.5;55.7;9;3;56.858611;24.349722;2024;2
16120.0;440.14;1;1;210.3;156.4;583.0;1960;60.0;1;1;35.7;35.7;7;1;56.858611;24.349722;2024;2
89840.0;67.42;2;4;886.1;3623.9;12164.0;2022;0.0;4;4;45.5;41.7;4;2;57.076944;24.323611;2024;2
60000.0;47.54;1;5;873.1;3945.5;13582.0;1983;14.0;1;1;66.3;64.7;8;3;56.836667;24.496111;2024;2
