Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema
15000.0;1;4;2098.8;1990;29.0;51.3;7;2;57.1325;27.265833;1.0;2024;0;0;0;1
10000.0;1;4;2509.6;1973;35.0;66.5;8;3;56.3;26.716667;4.0;2024;0;0;0;1
9500.0;1;5;3586.9;1978;30.0;39.1;7;2;56.3;26.716667;3.0;2024;0;0;0;1
7000.0;2;2;191.6;1962;50.0;48.4;5;2;57.1325;27.265833;2.0;2024;0;0;0;1
15000.0;1;5;2516.6;1973;40.0;46.8;7;2;57.1325;27.265833;5.0;2024;0;0;0;1
12500.0;1;5;4531.7;1981;45.0;40.7;5;1;56.366667;26.183333;3.0;2024;0;0;0;1
3000.0;1;5;3554.6;1976;30.0;36.4;5;2;56.366667;26.183333;1.0;2024;0;0;0;1
8000.0;1;5;3573.5;1976;25.0;60.3;8;3;56.3;26.716667;4.0;2024;0;0;0;1
3080.0;1;4;2142.0;1969;45.0;46.2;6;2;56.3;26.716667;1.0;2023;0;0;0;1
10000.0;1;5;2883.5;1982;28.0;76.9;11;4;56.366667;26.183333;4.0;2024;0;0;0;1
6209.05;2;2;463.3;1952;60.0;41.9;5;2;56.546389;27.726944;1.0;2024;0;0;0;1
10000.0;2;3;1124.1;1977;30.0;45.7;5;2;57.1325;27.265833;3.0;2024;0;0;0;1
8635.57;1;5;3574.3;1967;15.0;46.7;7;2;57.1325;27.265833;4.0;2024;0;0;0;1
3600.0;1;5;3584.4;1982;35.0;37.4;6;2;56.3;26.716667;2.0;2022;0;0;0;1
3084.79;1;5;3547.9;1984;25.0;36.6;5;2;56.3;26.716667;1.0;2012;0;1;0;0
4000.0;1;5;4508.3;1981;30.0;36.4;4;1;56.366667;26.183333;3.0;2024;0;0;0;1
27000.0;1;5;2516.6;1973;40.0;47.2;7;2;57.1325;27.265833;3.0;2024;0;0;0;1
11000.0;2;3;562.0;1964;30.0;41.9;5;2;57.1325;27.265833;3.0;2024;1;0;0;0
9500.0;1;3;1957.8;1983;35.0;45.2;6;2;56.3;26.716667;1.0;2024;1;0;0;0
7000.0;1;5;3044.1;1987;29.0;55.2;7;2;56.366667;26.183333;2.0;2020;1;0;0;0
5000.0;1;4;2513.4;1973;35.0;34.0;4;1;56.3;26.716667;1.0;2024;1;0;0;0
10000.0;1;5;2883.5;1982;28.0;63.1;9;3;56.366667;26.183333;3.0;2024;1;0;0;0
3500.0;1;5;3746.1;1986;15.0;38.2;6;2;56.3;26.716667;4.0;2024;1;0;0;0
15000.0;1;5;3574.3;1967;15.0;37.6;7;2;57.1325;27.265833;5.0;2024;1;0;0;0
2500.0;2;2;203.2;1965;60.0;52.1;7;3;57.1325;27.265833;1.0;2024;1;0;0;0
10000.0;1;5;3517.0;1991;10.0;36.9;6;2;56.3;26.716667;5.0;2024;1;0;0;0
25000.0;1;3;1721.9;1981;25.0;72.5;9;4;56.3;26.716667;2.0;2024;1;0;0;0
2000.0;1;5;4508.3;1981;30.0;35.9;5;1;56.366667;26.183333;2.0;2024;1;0;0;0
1600.0;1;3;668.0;1960;40.0;42.0;5;2;56.3;26.716667;2.0;2024;1;0;0;0
13000.0;1;4;2770.2;1968;40.0;60.6;8;3;56.3;26.716667;4.0;2019;0;0;0;1
5000.0;1;3;599.2;1964;60.0;50.8;5;2;57.1325;27.265833;2.0;2024;1;0;0;0
5000.0;1;5;4531.7;1981;45.0;53.0;7;3;56.366667;26.183333;2.0;2024;0;0;1;0
35000.0;1;3;610.9;1991;20.0;80.0;8;3;56.3;26.716667;3.0;2024;0;0;1;0
24000.0;1;5;3898.5;1980;28.0;62.5;7;3;56.366667;26.183333;2.0;2024;0;0;1;0
10000.0;1;5;2516.6;1973;40.0;25.9;4;1;57.1325;27.265833;2.0;2024;0;0;1;0
3260.0;1;5;3517.0;1991;10.0;31.3;5;1;56.3;26.716667;4.0;2024;0;0;1;0
10000.0;1;5;2516.6;1973;40.0;25.9;4;1;57.1325;27.265833;2.0;2024;0;0;1;0
10000.0;1;5;2516.6;1973;40.0;46.8;7;2;57.1325;27.265833;5.0;2024;0;0;1;0
12000.0;3;3;1138.8;1971;30.0;38.8;5;2;57.1325;27.265833;1.0;2024;0;0;1;0
3000.0;1;4;2077.7;1971;30.0;34.8;6;2;56.3;26.716667;1.0;2024;0;0;1;0
9000.0;1;5;3543.9;1989;26.0;36.4;6;2;56.3;26.716667;3.0;2024;0;0;1;0
5000.0;1;5;3547.9;1984;25.0;37.4;6;2;56.3;26.716667;2.0;2024;0;0;1;0
5000.0;1;5;3584.4;1982;35.0;30.0;5;1;56.3;26.716667;3.0;2024;0;0;1;0
30000.0;1;5;3541.1;1977;33.0;56.5;7;3;56.366667;26.183333;5.0;2024;0;0;1;0
29000.0;1;3;2185.3;1975;33.0;64.2;9;3;56.3;26.716667;2.0;2024;0;0;1;0
14500.0;1;5;3388.9;1971;30.0;46.6;7;2;56.366667;26.183333;5.0;2024;0;0;1;0
4000.0;1;4;2077.3;1970;25.0;46.4;7;2;56.3;26.716667;2.0;2024;0;0;1;0
6000.0;1;5;3573.5;1987;20.0;59.6;7;3;56.3;26.716667;3.0;2024;0;0;1;0
7000.0;1;5;2516.6;1973;40.0;45.7;7;2;57.1325;27.265833;2.0;2024;0;0;1;0
11800.0;1;5;3573.5;1976;25.0;29.9;6;1;56.3;26.716667;4.0;2024;0;0;1;0
7500.0;1;5;3588.1;1976;20.0;47.5;7;2;56.366667;26.183333;5.0;2022;0;1;0;0
1599.0;2;2;191.6;1962;50.0;38.1;5;1;57.1325;27.265833;1.0;2024;0;1;0;0
5000.0;3;1;134.2;1968;50.0;41.7;6;2;56.3;26.716667;1.0;2024;0;1;0;0
20000.0;1;3;1883.7;1964;55.0;42.7;6;2;56.3;26.716667;2.0;2024;0;1;0;0
12400.0;1;3;2208.1;1986;15.0;63.2;9;3;56.546389;27.726944;1.0;2024;0;0;1;0
7800.0;1;5;4434.4;1984;25.0;36.3;5;2;56.366667;26.183333;1.0;2024;0;1;0;0
14000.0;1;5;3860.0;1986;26.0;40.6;6;2;56.546389;27.726944;4.0;2024;0;1;0;0
7500.0;4;2;317.2;1900;50.0;47.1;3;2;56.366667;26.183333;1.0;2024;0;1;0;0
12000.0;3;2;379.0;1958;40.0;48.1;5;2;57.1325;27.265833;2.0;2024;0;1;0;0
2450.0;1;3;659.2;1964;35.0;41.2;5;2;57.1325;27.265833;2.0;2024;0;0;1;0
10000.0;1;5;3898.5;1980;28.0;51.9;6;2;56.366667;26.183333;4.0;2024;0;1;0;0
5000.0;1;5;4339.1;1979;35.0;63.2;9;3;56.366667;26.183333;5.0;2024;0;1;0;0
5000.0;3;1;127.2;1935;55.0;35.0;5;3;56.3;26.716667;1.0;2024;0;0;1;0
7000.0;1;5;4942.6;1974;20.0;52.2;7;2;57.1325;27.265833;2.0;2024;0;1;0;0
4500.0;1;4;2513.4;1973;35.0;53.2;7;2;56.3;26.716667;1.0;2024;0;1;0;0
2800.0;1;5;3567.5;1983;25.0;31.4;5;1;56.3;26.716667;2.0;2024;0;1;0;0
6300.0;1;3;2185.3;1975;33.0;37.2;6;1;56.3;26.716667;1.0;2024;0;1;0;0
13100.0;1;5;4531.7;1981;45.0;39.9;5;1;56.366667;26.183333;4.0;2024;0;1;0;0
2000.0;1;5;3565.3;1975;30.0;29.3;5;1;56.366667;26.183333;4.0;2024;0;1;0;0
27000.0;1;5;3543.9;1989;26.0;60.7;6;3;56.3;26.716667;5.0;2024;0;1;0;0
1700.0;1;3;819.6;1971;40.0;19.3;3;1;56.3;26.716667;3.0;2024;0;1;0;0
3000.0;1;4;2077.7;1971;30.0;36.0;7;2;56.3;26.716667;4.0;2024;0;1;0;0
3500.0;2;2;216.2;1930;55.0;19.0;2;1;56.546389;27.726944;1.0;2024;0;1;0;0
7000.0;1;2;650.4;1989;10.0;67.7;8;2;56.3;26.716667;2.0;2024;0;1;0;0
12000.0;1;3;1873.0;1965;50.0;40.8;5;2;56.3;26.716667;3.0;2024;0;1;0;0
9000.0;1;5;3860.0;1986;26.0;37.7;6;2;56.546389;27.726944;1.0;2023;0;1;0;0
7500.0;1;3;2208.1;1986;15.0;70.6;9;3;56.546389;27.726944;3.0;2024;0;0;0;1
14000.0;1;5;5398.2;1984;25.0;44.7;7;2;56.3;26.716667;3.0;2024;0;0;0;1
2600.0;1;5;4508.3;1981;30.0;40.3;5;1;56.366667;26.183333;5.0;2024;0;1;0;0
6000.0;1;3;660.7;1974;29.0;32.3;4;1;56.851111;26.219444;2.0;2023;0;0;0;1
2000.0;2;1;158.2;1957;50.0;46.7;8;2;57.420556;27.048611;1.0;2023;0;0;0;1
10000.0;1;5;3835.4;1977;30.0;53.5;7;2;57.751667;24.357222;4.0;2023;0;0;0;1
5500.0;2;1;158.2;1957;50.0;39.3;7;1;57.420556;27.048611;1.0;2022;0;0;1;0
5126.0;1;5;3593.8;1979;33.0;44.4;6;2;57.420556;27.048611;1.0;2017;0;0;1;0
10000.0;1;5;1964.8;1987;10.0;53.2;7;2;56.851111;26.219444;5.0;2024;0;0;0;1
12960.0;1;3;805.5;1966;50.0;63.3;6;3;57.751667;24.357222;3.0;2023;0;0;0;1
