Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema
6000.0;1;3;1293.9;1961;50;38.7;5;2;56.968611;21.971667;3.0;2020;1;0;0;0
24500.0;1;5;3151.6;1972;30;59.1;8;3;57.246667;22.588611;4.0;2020;0;0;0;1
7000.0;1;3;826.3;1969;30;19.9;4;1;56.966667;23.153333;3.0;2020;0;1;0;0
27000.0;1;3;1367.1;1972;25;58.8;7;2;57.246667;22.588611;3.0;2020;0;1;0;0
30000.0;1;4;2828.2;1985;27;56.3;7;2;56.966667;23.153333;4.0;2020;0;0;0;1
27000.0;1;5;4009.9;1978;30;62.3;8;3;56.966667;23.153333;1.0;2019;0;0;0;1
2000.0;1;5;4023.6;1973;30;35.2;4;1;56.366667;26.183333;2.0;2019;0;0;0;1
3300.0;3;2;489.3;1974;50;60.0;5;3;56.3;26.716667;2.0;2019;0;0;0;1
3000.0;1;5;3547.9;1984;25;30.1;5;1;56.3;26.716667;2.0;2019;0;0;0;1
13400.0;1;5;3542.5;1989;20;59.1;8;3;56.3;26.716667;2.0;2019;0;0;0;1
5800.0;1;5;4432.5;1984;25;45.0;7;2;56.366667;26.183333;5.0;2020;0;0;0;1
4500.0;1;5;4023.6;1973;30;35.2;4;1;56.366667;26.183333;2.0;2020;0;0;0;1
7300.0;1;3;1883.7;1964;55;40.6;6;2;56.3;26.716667;1.0;2020;0;0;0;1
3000.0;1;5;3051.1;1974;35;33.9;4;1;56.3;26.716667;4.0;2020;0;0;0;1
10000.0;1;5;3531.7;1983;20;59.9;8;3;57.1325;27.265833;2.0;2020;0;0;0;1
3000.0;1;5;3574.3;1967;15;27.4;4;1;57.1325;27.265833;2.0;2020;0;0;0;1
6500.0;1;4;2077.3;1970;25;46.7;7;2;56.3;26.716667;3.0;2020;0;0;0;1
5000.0;1;3;1854.9;1965;50;41.2;5;2;56.3;26.716667;3.0;2020;0;0;0;1
4600.0;1;5;2880.6;1982;25;75.7;11;4;56.366667;26.183333;4.0;2017;1;0;0;0
