Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema;Platums;Garums
86000.0;1;9;9503.4;1996;22.0;87.9;9;3;1.0;2024;0;0;0;1;56.9888308;24.2452376
50000.0;1;5;5004.8;1972;20.0;54.3;8;3;5.0;2024;0;0;0;1;56.9631112;24.0257523
90000.0;1;10;6364.0;1987;0.0;97.1;11;4;6.0;2024;0;0;0;1;56.943487;24.0072169
17000.0;1;4;2321.4;1963;35.0;41.2;6;2;4.0;2024;0;0;0;1;56.9697236;24.1735265
60000.0;1;7;3979.7;1984;20.0;51.9;8;2;6.0;2024;0;0;0;1;56.9357182;24.2128147
42000.0;1;5;3649.1;1970;30.0;47.0;7;2;2.0;2024;0;0;0;1;56.9622947;24.1909826
20000.0;1;9;5024.5;1983;10.0;32.6;5;1;8.0;2024;0;0;0;1;56.9323499;24.1630159
31500.0;1;5;5505.0;1968;30.0;62.4;8;3;2.0;2024;0;0;0;1;56.9204381;24.1825876
31000.0;1;6;3981.2;1988;29.0;38.3;6;1;5.0;2024;0;0;0;1;56.9931973;24.1245117
57900.0;1;9;6301.0;1975;31.0;52.4;7;2;9.0;2024;0;0;0;1;56.9652663;24.010208
33000.0;1;5;4046.7;1974;30.0;38.2;6;2;4.0;2024;0;0;0;1;56.957934;24.1915403
25902.0;1;5;2794.1;1962;28.0;61.7;6;3;1.0;2024;0;0;0;1;56.9667288;24.0492049
35000.0;1;5;4170.2;1987;27.0;41.6;6;1;4.0;2024;0;0;0;1;56.9415711;24.2252321
40000.0;1;10;8893.6;1974;30.0;52.8;8;2;9.0;2024;0;0;0;1;56.9642489;24.0237934
21000.0;1;11;3386.8;1989;27.0;57.7;9;2;10.0;2024;0;0;0;1;56.94499;24.0220999
9000.0;2;5;2239.9;1978;20.0;39.6;6;1;5.0;2024;0;0;0;1;56.9599066;24.1481308
40500.0;1;9;4856.8;1979;15.0;50.7;8;2;2.0;2024;0;0;0;1;56.9586372;24.1678895
22500.0;1;12;4439.3;1981;30.0;33.0;6;1;1.0;2024;0;0;0;1;57.0387374;24.0322178
16100.0;1;9;6866.1;1986;10.0;40.4;6;1;6.0;2024;0;0;0;1;56.9412022;24.2123703
30000.0;1;9;4860.5;1975;20.0;49.1;7;2;7.0;2024;0;0;0;1;56.9252478;24.1705054
166800.0;1;5;2549.7;2004;14.0;171.2;13;5;4.5;2024;0;0;0;1;56.9624791;24.1742412
175512.67;1;4;1560.7;2005;0.0;143.5;13;6;4.0;2024;0;0;0;1;56.9581695;24.2417466
10770.0;1;5;6911.0;1968;24.0;25.9;6;1;1.0;2024;0;0;0;1;56.9652539;24.1733718
32000.0;1;5;4247.0;1989;26.0;39.1;6;1;5.0;2024;0;0;0;1;56.9403758;24.1866171
38500.0;1;10;7323.4;1986;10.0;50.9;8;2;7.0;2024;0;0;0;1;56.9424427;24.2169851
