Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema;Platums;Garums
89000.0;104.26;1;4;8025.4;2004;0;63.9;5;1;1.0;2019;0;0;0;1;56.942328;24.0049275
50000.0;80.21;1;9;7398.0;1985;20;75.3;11;4;6.0;2020;0;0;0;1;56.9536014;24.197119
35000.0;42.65;1;5;4599.3;1961;20;43.5;5;2;2.0;2020;0;0;0;1;56.9626889;24.0484116
25000.0;54.89;1;5;6765.4;1965;30;48.7;7;2;5.0;2020;0;0;0;1;56.9027462;24.2039144
20000.0;145.13;5;2;394.7;1900;70;58.5;4;2;2.0;2019;0;0;0;1;56.970486;24.1635493
37000.0;19.44;1;7;1801.8;1989;5;36.8;5;1;1.0;2020;0;0;0;1;56.9722476;24.1366867
70763.0;24.09;1;5;6246.9;1904;35;67.3;7;3;3.0;2019;0;0;0;1;56.9440245;24.0794221
5800.0;171.66;3;2;183.8;1953;35;29.5;2;1;1.0;2019;0;0;0;1;57.0406282;24.0377259
74987.8;54.15;1;5;4798.7;2017;0;53.4;4;2;2.0;2019;0;0;0;1;56.9383475;24.2235272
55000.0;27.26;1;6;4627.9;1901;65;79.2;9;3;6.0;2019;0;0;0;1;56.9389495;24.1332429
75000.0;41.73;3;5;3469.8;1900;55;104.0;13;4;5.0;2019;0;1;0;0;56.9415115;24.1298826
77732.0;45.22;3;9;4102.3;2008;0;57.9;4;2;5.0;2019;0;0;0;1;56.9521112;24.0002292
95000.0;35.26;1;4;5574.9;1911;50;66.5;7;3;3.0;2020;0;0;0;1;56.9525243;24.1400411
7000.0;78.65;3;4;1631.0;1951;50;57.7;7;2;4.0;2019;0;0;0;1;56.9677988;24.1025655
41000.0;57.96;1;5;5010.5;1964;40;46.5;6;2;2.0;2020;0;0;0;1;56.913862;24.1734976
53500.0;63.21;1;5;4852.2;1967;35;66.4;10;3;4.0;2020;0;0;0;1;56.9531566;24.0527497
17000.0;10.92;1;9;4918.3;1981;20;32.7;7;1;1.0;2020;0;0;0;1;57.0334577;24.1033642
102800.0;48.96;1;5;6955.6;2019;0;59.4;4;2;2.0;2019;0;0;0;1;56.9556201;24.0534049
25000.0;29.88;1;5;3963.9;1972;10;50.7;7;2;1.0;2020;0;0;0;1;56.9148761;24.0959435
6300.0;28.88;1;5;2571.0;1968;18;18.3;1;1;2.0;2019;0;1;0;0;56.9921122;24.2287777
26000.0;54.57;1;5;4914.0;1979;15;48.0;8;2;5.0;2020;0;0;0;1;56.9511312;24.198465
24250.0;41.77;1;6;4588.5;1984;35;43.4;7;1;3.0;2019;0;0;0;1;57.0269742;24.042278
41000.0;13.84;4;4;149.9;1898;45;22.5;4;1;2.0;2019;0;0;0;1;56.9526735;24.1317454
38000.0;13.18;4;4;149.9;1898;45;22.4;4;1;3.0;2019;0;0;0;1;56.9526735;24.1317454
37000.0;14.15;4;4;149.9;1898;45;22.2;5;1;4.0;2019;0;0;0;1;56.9526735;24.1317454
20000.0;39.11;1;14;4738.0;1973;25;35.6;4;1;3.0;2019;0;0;0;1;56.9883629;24.2366467
39300.0;40.27;1;7;14923.6;1999;35;131.5;13;5;6.0;2019;0;1;0;0;56.9501967;24.1252933
35678.0;11.71;1;5;6246.9;1904;35;32.7;5;1;3.0;2019;0;0;0;1;56.9440245;24.0794221
21500.0;84.4;1;5;5145.5;1982;15;56.1;7;2;2.0;2019;0;0;0;1;57.0402465;24.0303146
63000.0;7.1;2;4;1006.9;1938;50;34.2;4;1;1.0;2019;0;0;0;1;56.961946;24.1022003
54500.0;41.7;1;11;10125.7;1989;0;77.5;14;3;2.0;2020;0;0;0;1;56.9471614;24.0212423
10000.0;58.43;3;3;2337.9;1910;50;29.1;2;1;3.0;2019;0;0;0;1;57.0234206;24.1325778
152200.0;138.8;1;3;1664.0;2010;0;112.7;7;4;3.0;2019;0;0;0;1;56.9538253;23.9893791
149800.0;140.28;1;3;1664.0;2010;0;113.9;7;4;1.0;2019;0;0;0;1;56.9538253;23.9893791
15000.0;100.88;2;2;493.1;1900;60;43.6;5;2;1.0;2019;0;0;0;1;56.917344;24.0874689
108900.0;54.15;1;5;6955.6;2019;0;65.7;6;3;3.0;2019;0;1;0;0;56.9556201;24.0534049
40000.0;26.58;1;5;5247.6;1971;20;29.0;5;1;2.0;2020;0;0;0;1;56.9305835;24.0731611
32000.0;60.06;1;5;7289.0;1969;35;39.5;6;2;5.0;2019;0;0;0;1;56.9002015;24.2083628
30000.0;143.51;2;3;377.8;1925;70;59.2;4;2;2.0;2019;0;0;0;1;56.9374818;24.0713964
33000.0;39.1;1;6;3288.7;1978;10;34.9;4;1;3.0;2020;0;0;0;1;56.9534275;24.0501989
22500.0;48.14;3;4;631.0;1910;35;42.9;3;2;1.0;2019;0;1;0;0;56.9612554;24.1479673
56000.0;90.76;1;5;5221.1;1987;10;54.5;7;2;4.0;2019;0;0;0;1;56.9518398;24.1947115
16500.0;19.23;8;4;1350.6;1900;45;30.4;2;1;3.0;2020;0;0;0;1;56.940328;24.1376648
96592.5;25.68;3;5;1153.6;1900;30;47.7;3;2;3.0;2020;0;0;0;1;56.952689;24.1298802
93440.0;71.71;1;4;1717.2;2019;0;64.9;4;2;2.0;2019;0;0;0;1;56.9409497;24.0621428
33000.0;65.77;1;5;2234.6;1979;15;49.1;8;2;1.0;2020;0;0;0;1;57.0337053;24.056596
169000.0;59.49;1;6;7585.9;1899;55;209.5;16;8;4.0;2020;0;0;0;1;56.9495988;24.1208458
21286.0;83.5;1;3;1307.9;1963;10;48.5;6;2;3.0;2020;0;0;0;1;56.9166116;24.0953825
20000.0;20.44;1;10;3936.9;1992;5;36.1;7;1;4.0;2019;0;0;0;1;56.9009312;24.1000475
7500.0;52.29;2;2;476.8;1912;65;22.6;2;1;2.0;2019;0;0;0;1;56.9172123;24.086832
190000.0;27.39;3;6;3983.4;1900;35;89.7;5;4;2.0;2020;0;0;0;1;56.9553034;24.1235677
165500.0;85.15;1;5;6955.6;2019;0;103.3;9;4;2.0;2019;0;0;0;1;56.9556201;24.0534049
110000.0;34.67;2;10;3409.1;2016;0;67.2;5;3;3.0;2019;0;0;0;1;56.9700093;24.1288435
35500.0;44.84;1;5;5317.8;1970;35;47.1;7;2;5.0;2020;0;0;0;1;56.9001271;24.2041708
120000.0;116.28;1;5;3487.0;2018;0;81.2;8;4;1.0;2019;0;0;0;1;56.9413005;24.0414416
41000.0;32.3;3;4;715.8;1924;45;44.2;5;2;3.0;2020;0;0;0;1;56.9684812;24.1458962
30000.0;129.39;1;3;2658.2;1954;50;78.4;9;3;1.0;2020;0;0;0;1;57.0282679;24.0424415
70000.0;11.25;6;6;4969.3;1910;60;34.6;3;1;5.0;2019;0;0;0;1;56.9507031;24.120468
44500.0;78.11;1;5;3171.8;1971;20;60.5;8;3;5.0;2020;0;0;0;1;56.9694826;24.0519957
11750.0;32.95;1;2;1133.4;1910;60;14.4;1;1;2.0;2020;0;0;0;1;56.9423773;24.0492364
13000.0;29.08;1;2;1133.4;1910;60;12.8;2;1;2.0;2020;0;0;0;1;56.9423773;24.0492364
